time,vertex,state,state_id,buffer_occupation,production_step
8,1,working,2,0.3333333333333333,1
8,8,working,2,0.0,1
8,10,working,2,0.3333333333333333,1
8,16,working,2,0.3333333333333333,1
8,21,working,2,0.3333333333333333,1
8,26,working,2,0.3333333333333333,1
8,2,working,2,0.0,2
8,7,working,2,0.0,2
8,11,working,2,0.0,2
8,17,working,2,0.0,2
8,22,starved,0,0.0,2
8,25,starved,0,0.0,2
8,3,working,2,0.3333333333333333,3
8,15,working,2,0.3333333333333333,3
8,23,working,2,0.3333333333333333,3
8,29,working,2,0.0,3
8,4,working,2,0.0,4
8,5,working,2,0.0,4
8,6,working,2,0.0,4
8,14,working,2,0.0,4
8,18,starved,0,0.0,4
8,19,starved,0,0.0,4
8,20,starved,0,0.0,4
8,27,starved,0,0.0,4
9,0,working,2,0.0,0
9,9,working,2,0.0,0
9,12,working,2,0.0,0
9,13,working,2,0.0,0
9,24,working,2,0.0,0
9,28,working,2,0.0,0
9,1,working,2,0.6666666666666666,1
9,8,working,2,0.3333333333333333,1
9,10,working,2,0.3333333333333333,1
9,16,working,2,0.3333333333333333,1
9,21,working,2,0.3333333333333333,1
9,26,working,2,0.3333333333333333,1
9,2,working,2,0.0,2
9,7,working,2,0.0,2
9,11,working,2,0.0,2
9,17,working,2,0.0,2
9,22,working,2,0.0,2
9,25,starved,0,0.0,2
9,3,working,2,0.3333333333333333,3
9,15,working,2,0.3333333333333333,3
9,23,working,2,0.3333333333333333,3
9,29,working,2,0.3333333333333333,3
9,4,working,2,0.0,4
9,5,working,2,0.0,4
9,6,working,2,0.0,4
9,14,working,2,0.0,4
9,18,starved,0,0.0,4
9,19,starved,0,0.0,4
9,20,starved,0,0.0,4
9,27,starved,0,0.0,4
10,0,working,2,0.0,0
10,9,working,2,0.0,0
10,12,working,2,0.0,0
10,13,working,2,0.0,0
10,24,working,2,0.0,0
10,28,working,2,0.0,0
10,1,working,2,0.6666666666666666,1
10,8,working,2,0.6666666666666666,1
10,10,working,2,0.6666666666666666,1
10,16,working,2,0.3333333333333333,1
10,21,working,2,0.3333333333333333,1
10,26,working,2,0.3333333333333333,1
10,2,working,2,0.0,2
10,7,working,2,0.0,2
10,11,working,2,0.0,2
10,17,working,2,0.0,2
10,22,working,2,0.0,2
10,25,starved,0,0.0,2
10,3,working,2,0.3333333333333333,3
10,15,working,2,0.3333333333333333,3
10,23,working,2,0.3333333333333333,3
10,29,working,2,0.3333333333333333,3
10,4,working,2,0.0,4
10,5,working,2,0.0,4
10,6,working,2,0.0,4
10,14,starved,0,0.0,4
10,18,starved,0,0.0,4
10,19,starved,0,0.0,4
10,20,starved,0,0.0,4
10,27,starved,0,0.0,4
11,0,working,2,0.0,0
11,9,working,2,0.0,0
11,12,working,2,0.0,0
11,13,working,2,0.0,0
11,24,working,2,0.0,0
11,28,working,2,0.0,0
11,1,working,2,0.6666666666666666,1
11,8,working,2,0.6666666666666666,1
11,10,working,2,0.3333333333333333,1
11,16,working,2,0.3333333333333333,1
11,21,working,2,0.3333333333333333,1
11,26,working,2,0.3333333333333333,1
11,2,working,2,0.0,2
11,7,working,2,0.0,2
11,11,working,2,0.0,2
11,17,working,2,0.0,2
11,22,working,2,0.0,2
11,25,working,2,0.0,2
11,3,working,2,0.6666666666666666,3
11,15,working,2,0.6666666666666666,3
11,23,working,2,0.6666666666666666,3
11,29,working,2,0.3333333333333333,3
11,4,working,2,0.0,4
11,5,working,2,0.0,4
11,6,working,2,0.0,4
11,14,working,2,0.0,4
11,18,starved,0,0.0,4
11,19,starved,0,0.0,4
11,20,starved,0,0.0,4
11,27,starved,0,0.0,4
12,0,working,2,0.0,0
12,9,working,2,0.0,0
12,12,working,2,0.0,0
12,13,working,2,0.0,0
12,24,working,2,0.0,0
12,28,working,2,0.0,0
12,1,working,2,0.6666666666666666,1
12,8,working,2,0.6666666666666666,1
12,10,working,2,0.6666666666666666,1
12,16,working,2,0.3333333333333333,1
12,21,working,2,0.3333333333333333,1
12,26,working,2,0.3333333333333333,1
12,2,working,2,0.0,2
12,7,working,2,0.0,2
12,11,working,2,0.0,2
12,17,working,2,0.0,2
12,22,working,2,0.0,2
12,25,blocked,1,0.0,2
12,3,working,2,0.6666666666666666,3
12,15,working,2,0.6666666666666666,3
12,23,working,2,0.6666666666666666,3
12,29,working,2,0.6666666666666666,3
12,4,working,2,0.0,4
