case_id,activity_id,time_stamp,time_stamp_out,product_id
11,10,2023-09-24 13:29:35,2023-09-24 14:22:35,11
11,7,2023-09-24 14:22:35,2023-09-24 14:32:35,11
12,11,2023-09-24 09:31:35,2023-09-24 09:46:35,12
12,14,2023-09-24 09:46:35,2023-09-24 10:41:35,12
12,8,2023-09-24 10:41:35,2023-09-24 10:59:35,12
12,26,2023-09-24 10:59:35,2023-09-24 11:11:35,12
12,18,2023-09-24 11:11:35,2023-09-24 11:33:35,12
12,25,2023-09-24 11:33:35,2023-09-24 11:56:35,12
12,31,2023-09-24 11:56:35,2023-09-24 12:17:35,12
12,7,2023-09-24 12:17:35,2023-09-24 12:32:35,12
13,0,2023-09-24 09:31:35,2023-09-24 09:39:35,13
13,19,2023-09-24 09:39:35,2023-09-24 10:14:35,13
13,2,2023-09-24 10:14:35,2023-09-24 10:54:35,13
13,3,2023-09-24 10:54:35,2023-09-24 11:10:35,13
13,12,2023-09-24 11:10:35,2023-09-24 11:21:35,13
13,5,2023-09-24 11:21:35,2023-09-24 11:32:35,13
13,31,2023-09-24 11:32:35,2023-09-24 11:43:35,13
13,24,2023-09-24 11:43:35,2023-09-24 11:48:35,13
14,0,2023-09-24 09:31:35,2023-09-24 09:47:35,14
14,19,2023-09-24 09:47:35,2023-09-24 10:40:35,14
14,9,2023-09-24 10:40:35,2023-09-24 10:48:35,14
14,22,2023-09-24 10:48:35,2023-09-24 10:56:35,14
14,29,2023-09-24 10:56:35,2023-09-24 11:08:35,14
14,23,2023-09-24 11:08:35,2023-09-24 11:36:35,14
14,10,2023-09-24 11:36:35,2023-09-24 13:27:35,14
14,24,2023-09-24 13:27:35,2023-09-24 13:32:35,14
15,0,2023-09-24 09:31:35,2023-09-24 09:55:35,15
15,38,2023-09-24 09:55:35,2023-09-24 10:21:35,15
15,8,2023-09-24 10:21:35,2023-09-24 10:30:35,15
15,3,2023-09-24 10:30:35,2023-09-24 10:37:35,15
15,4,2023-09-24 10:37:35,2023-09-24 10:47:35,15
15,17,2023-09-24 10:47:35,2023-09-24 10:57:35,15
15,10,2023-09-24 10:57:35,2023-09-24 11:07:35,15
15,7,2023-09-24 11:07:35,2023-09-24 11:16:35,15
16,11,2023-09-24 09:37:35,2023-09-24 09:53:35,16
16,38,2023-09-24 09:53:35,2023-09-24 10:04:35,16
16,16,2023-09-24 10:04:35,2023-09-24 10:45:35,16
